Number,Continent,Country,State/Province/Territory/etc.,Location,Region,Up Front Description,Hint # 1,Description at the end,Has Chez Edited Description,Wikipedia Link,Tourism Link,Climate,Pics Uploaded?,Pictures,TB URL,Notes
36,Europe,Iceland,,,,You are looking for a country,Its a Country that is also an Island,,,,,,FALSE,,,
37,Europe,Ireland,,,,You are looking for a country,,,,,,,FALSE,,,
38,Europe,Italy,,Rome,Western Europe,You are Looking to a City,,,,,,Mediterranean climate,FALSE,,,
39,,,,,,,,,,,,,FALSE,,,
40,Europe,Italy,,,,You are looking for a country,,,,,,,FALSE,,,
41,,,,,,,,,,,,,FALSE,,,
42,Europe,Netherlands,,Aruba,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
43,,,,,,,,,,,,,FALSE,,,
44,Europe,Norway,,,,You are looking for a country,,,,,,,FALSE,,,
45,,,,,,,,,,,,,FALSE,,,
46,Europe,Poland,,,,You are looking for a country,,,,,,,FALSE,,,
47,,,,,,,,,,,,,FALSE,,,
48,Europe,Portugal,,,,You are looking for a country,,,,,,,FALSE,,,
49,,,,,,,,,,,,,FALSE,,,
50,Europe,Slovenia,,,,You are looking for a country,,,,,,,FALSE,,,
51,,,,,,,,,,,,,FALSE,,,
52,Europe,Spain,,,,You are looking for a country,,,,,,,FALSE,,,
53,,,,,,,,,,,,,FALSE,,,
54,Europe,Sweden,,,,You are looking for a country,,,,,,,FALSE,,,
55,,,,,,,,,,,,,FALSE,,,
56,Europe,United Kingdom,,,,You are looking for a country,,,,,,,FALSE,,,
57,,,,,,,,,,,,,FALSE,,,
58,North America,Canada,Quebec,Charlevoix,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
59,,,,,,,,,,,,,FALSE,,,
60,North America,Canada,Quebec,Saguenay,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
61,,,,,,,,,,,,,FALSE,,,
62,North America,Canada,Quebec,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
63,North America,Canada,Saskatchawan,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
64,North America,Canada,,Alberta,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
65,North America,Canada,,New Brunswick,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
66,North America,Canada,,Niagara Falls,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
67,North America,Canada,,Nova Scotia,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
68,North America,Saint Lucia,,,,You are looking for a country,,,,,,,FALSE,,,
69,North America,Turks and Caicos,,Providenciales,Carribean,It is a travel destination,It is an Island,,,,,Tropical,FALSE,,,
70,North America,USA,Alabama,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
71,North America,USA,Alaska,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
72,North America,USA,Arizona,Grand Canyon,North America,It is a famous geological formation,,,,,,Desert,FALSE,,,
73,North America,USA,Arizona,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
74,North America,USA,Arkansas,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
75,North America,USA,Califorina,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
76,North America,USA,Colorado,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
77,North America,USA,Delaware,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
78,North America,USA,Florida,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
79,North America,USA,Georgia,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
80,North America,USA,Idaho,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
81,North America,USA,Illinois,Chicago,North America,You are Looking to a City,,,,,,,FALSE,,,
82,North America,USA,Indiana,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
83,North America,USA,Kansas,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
84,North America,USA,Kentucky,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
85,North America,USA,Louisiana,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
86,North America,USA,Maryland,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
87,North America,USA,Massachusetts,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
88,North America,USA,Minnesota,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
89,North America,USA,Missouri,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
90,North America,USA,Montana,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
91,North America,USA,New Hampshire,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
92,North America,USA,New Jersey,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
93,North America,USA,New Mexico,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
94,North America,USA,New York,New York,North America,You are Looking to a City,,,,,,,FALSE,,,
95,North America,USA,Niagara Falls,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
96,North America,USA,North Carolina,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
97,North America,USA,North Dakota,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
98,North America,USA,Ohio,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
99,North America,USA,Pennsylvania,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
100,North America,USA,South Dakota,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
101,North America,USA,Tennessee,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
102,North America,USA,Texas,,,"You are looking for a State, Territory, or Province",,,,,,,FALSE,,,
103,Oceania,Fiji,,,,You are looking for a country,,,,,,,FALSE,,,
104,Oceania,New Zealand,,,,You are looking for a country,,,,,,,FALSE,,,
105,South America,Belize,,The Blue Hole,Central America,It is a famous geological formation,,,,,,,FALSE,,,
106,South America,Brazil,,Amazon River,South America,It is an attraction,It is a famous Georgraphic Feature,,,,,Rain Forest,FALSE,,,
107,South America,Chile,,,,You are looking for a country,,,,,,,FALSE,,,
108,South America,Colombia,,,,You are looking for a country,,,,,,,FALSE,,,
109,South America,Ecuador,,Gullapolos,South America,It is an attraction,It is a small group of Island,,,,,,FALSE,,,
110,South America,Ecuador,,,,You are looking for a country,,,,,,,FALSE,,,
111,South America,El Salvador,,,,You are looking for a country,,,,,,,FALSE,,,
112,South America,Mexico,,Cancun,Central America,You are Looking to a City,,,,,,,FALSE,,,
113,South America,Mexico,,,,You are looking for a country,,,,,,,FALSE,,,
114,South America,Panama,,,,You are looking for a country,,,,,,,FALSE,,,
115,South America,Paraguay,,,,You are looking for a country,,,,,,,FALSE,,,
116,South America,Peru,,,,You are looking for a country,,,,,,,FALSE,,,
117,,,,,,,,,,,,,FALSE,,,
118,,,,,,,,,,,,,FALSE,,,
119,,,,,,,,,,,,,FALSE,,,
120,,,,,,,,,,,,,FALSE,,,
121,,,,,,,,,,,,,FALSE,,,
122,,,,,,,,,,,,,FALSE,,,
123,,,,,,,,,,,,,FALSE,,,
124,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,FALSE,,,
